cpg_id,ACR-139-TP1,ACR-139-TP2,ACR-139-TP3,ACR-139-TP4,ACR-145-TP1,ACR-145-TP2,ACR-145-TP3,ACR-145-TP4,ACR-150-TP1,ACR-150-TP2,ACR-150-TP3,ACR-150-TP4,ACR-173-TP1,ACR-173-TP2,ACR-173-TP3,ACR-173-TP4,ACR-186-TP1,ACR-186-TP2,ACR-186-TP3,ACR-186-TP4,ACR-225-TP2,ACR-225-TP3,ACR-225-TP4,ACR-229-TP1,ACR-229-TP2,ACR-229-TP3,ACR-229-TP4,ACR-237-TP1,ACR-237-TP2,ACR-237-TP3,ACR-237-TP4,ACR-244-TP1,ACR-244-TP2,ACR-244-TP3,ACR-244-TP4,ACR-265-TP1,ACR-265-TP2,ACR-265-TP3,ACR-265-TP4
CpG_ntLink_1_116302,29.787234,29.87013,33.898305,38.333333,27.272727,23.45679,29.411765,23.076923,32.0,36.046512,31.372549,32.692308,26.785714,23.333333,30.769231,5.882353,9.803922,20.689655,5.555556,26.923077,51.351351,41.052632,47.222222,13.392857,16.666667,24.489796,20.3125,34.146341,39.655172,42.253521,44.303797,66.666667,59.259259,54.054054,46.341463,25.0,30.952381,38.181818,35.714286
CpG_ntLink_1_116382,22.727273,22.65625,21.259843,17.857143,13.068182,16.793893,14.0,21.710526,29.850746,38.582677,32.298137,28.571429,21.052632,28.571429,12.359551,8.247423,11.111111,10.679612,14.705882,21.348315,38.297872,31.578947,33.548387,12.169312,12.179487,17.777778,12.977099,35.384615,33.962264,36.27451,34.532374,44.642857,46.875,53.846154,40.84507,14.634146,7.954545,30.909091,13.043478
CpG_ntLink_1_116388,15.384615,22.5,18.803419,16.666667,10.240964,11.016949,8.888889,21.37931,25.414365,36.607143,30.0,23.684211,20.0,21.428571,14.457831,5.617978,9.174312,11.0,6.666667,16.470588,34.883721,28.823529,27.81457,11.797753,10.596026,13.095238,10.169492,31.578947,31.081081,34.831461,27.777778,44.144144,40.0,35.294118,38.970588,10.526316,8.641975,26.470588,9.52381
CpG_ntLink_1_116391,19.298246,21.367521,16.521739,15.384615,10.843373,11.016949,11.627907,20.0,25.0,36.697248,29.931973,27.027027,16.346154,22.222222,11.904762,11.494253,8.411215,14.583333,3.571429,14.285714,36.585366,30.538922,30.921053,10.285714,13.422819,10.714286,8.695652,30.701754,30.612245,34.090909,26.771654,40.186916,35.897436,47.058824,33.333333,10.526316,8.641975,29.292929,12.941176
CpG_ntLink_1_116420,26.190476,34.444444,18.478261,15.625,12.666667,20.212766,16.216216,19.512195,24.342105,35.714286,31.967213,21.052632,24.137931,41.176471,18.84058,14.102564,9.302326,12.0,17.391304,21.052632,34.285714,34.482759,35.658915,15.686275,18.897638,14.925373,11.881188,34.444444,32.8125,36.111111,34.862385,50.0,53.763441,62.962963,39.423077,12.5,13.432836,22.619048,17.333333
CpG_ntLink_1_120432,21.95122,34.482759,15.625,36.363636,17.142857,18.75,4.761905,40.540541,14.035088,27.586207,26.666667,20.0,16.666667,25.0,15.625,9.52381,12.121212,20.0,4.255319,18.518519,40.0,50.0,31.818182,19.565217,16.949153,13.636364,15.384615,21.212121,26.530612,18.518519,30.769231,57.894737,57.894737,77.777778,54.901961,47.058824,41.176471,31.578947,18.75
CpG_ntLink_1_121219,23.333333,29.411765,15.0,9.090909,8.571429,21.052632,4.166667,16.666667,20.0,22.857143,33.333333,22.580645,8.62069,7.692308,4.878049,11.111111,7.142857,4.545455,4.761905,7.692308,58.333333,40.740741,28.947368,3.773585,3.571429,7.142857,8.333333,33.333333,36.170213,40.625,24.324324,33.333333,35.714286,29.411765,51.515152,16.666667,12.5,20.833333,25.0
CpG_ntLink_1_121225,15.625,25.0,16.27907,9.090909,6.060606,20.512821,7.692308,22.580645,25.0,25.641026,27.272727,18.181818,7.8125,6.976744,4.545455,2.5,6.25,3.846154,4.347826,7.692308,53.846154,46.666667,30.232558,5.555556,3.225806,6.451613,5.405405,35.135135,25.0,30.555556,26.470588,23.333333,30.769231,25.0,33.333333,14.285714,0.0,20.833333,0.0
CpG_ntLink_1_121228,21.875,26.829268,16.27907,18.181818,8.823529,19.512195,3.846154,18.75,26.760563,16.666667,31.111111,20.588235,4.477612,6.976744,4.081633,5.0,9.677419,3.703704,0.0,6.896552,57.142857,36.363636,27.906977,5.172414,3.225806,6.666667,5.405405,29.268293,28.888889,25.641026,28.205128,29.411765,26.829268,23.809524,30.769231,9.090909,0.0,21.73913,5.555556
CpG_ntLink_1_121257,20.930233,15.217391,19.148936,40.0,10.25641,22.0,17.241379,21.95122,18.987342,23.404255,37.735849,22.222222,10.666667,20.0,9.803922,18.181818,7.692308,16.0,2.325581,11.627907,37.5,40.540541,31.372549,8.064516,4.166667,9.756098,9.52381,30.612245,24.561404,34.782609,33.962264,42.222222,50.877193,37.5,57.407407,28.571429,20.689655,29.411765,17.857143
